,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,Geraldton,-28.7667,114.6,61.21,72,75,13.8,AU,1631760884
143,Rocha,-34.4833,-54.3333,47.08,80,0,6.46,UY,1631760885
144,Pacific Grove,36.6177,-121.9166,57.36,88,36,4.0,US,1631760888
145,Georgetown,-7.9333,-14.4167,74.66,77,90,17.67,SH,1631760890
146,Pangnirtung,66.1451,-65.7125,35.31,69,100,0.96,CA,1631760891
147,Hamina,60.5697,27.1979,42.08,64,93,5.59,FI,1631760893
148,Roma,-26.5833,148.7833,75.74,23,0,9.78,AU,1631760629
149,Oistins,13.0667,-59.5333,82.49,83,40,13.8,BB,1631760758
150,Gornopravdinsk,60.05,69.9,49.3,98,100,5.73,RU,1631760895
151,Viedma,-40.8135,-62.9967,52.54,40,12,6.51,AR,1631760852
152,Nemuro,43.3236,145.575,63.03,68,0,3.18,JP,1631760751
153,Alice Springs,-23.7,133.8833,92.75,12,0,16.11,AU,1631760898
154,Lüderitz,-26.6481,15.1594,50.74,69,0,18.37,NA,1631760639
155,Ureki,41.9956,41.7786,67.96,86,91,2.98,GE,1631760900
156,Kavaratti,10.5669,72.642,81.14,79,100,18.14,IN,1631760901
157,Laguna,-28.4825,-48.7808,57.96,67,99,1.16,BR,1631760798
158,Tivaouane,14.9515,-16.8129,70.14,86,91,11.56,SN,1631760903
159,Olafsvik,64.8945,-23.7142,52.92,93,100,15.73,IS,1631760904
160,Mahébourg,-20.4081,57.7,70.09,88,75,6.91,MU,1631760906
161,Kantunil,20.8,-89.0333,83.93,73,99,4.05,MX,1631760813
162,Pachino,36.7186,15.0907,66.24,52,6,3.29,IT,1631760908
163,Ventersburg,-28.0856,27.1381,49.12,86,0,7.72,ZA,1631760909
164,Tabriz,38.08,46.2919,62.06,34,0,11.5,IR,1631760911
165,Ostrovnoy,68.0531,39.5131,41.74,96,100,23.33,RU,1631760912
166,Dubrovytsya,51.5744,26.565,53.89,78,72,5.21,UA,1631760914
167,Wanning,18.8003,110.3967,85.68,69,99,6.06,CN,1631760915
168,Provost,52.3501,-110.2683,54.05,54,70,16.13,CA,1631760915
169,Bengkulu,-3.8004,102.2655,83.89,68,19,4.41,ID,1631760916
170,Saint-Pierre,46.7654,-56.1695,56.95,73,100,22.59,PM,1631760762
171,Labuhan,-6.8844,112.2051,86.97,59,97,2.73,ID,1631760918
172,Noshiro,40.2039,140.0242,70.63,50,72,5.75,JP,1631760918
173,Saint George,32.3817,-64.6781,81.75,86,100,8.01,BM,1631760919
174,Hambantota,6.1241,81.1185,80.94,94,20,10.36,LK,1631760771
175,Tjøme,59.1109,10.3933,53.26,97,90,5.75,NO,1631760685
176,Katsuura,35.1333,140.3,77.11,70,46,18.61,JP,1631760721
177,Kahului,20.8947,-156.47,83.46,76,64,8.66,US,1631760921
178,Korla,41.7597,86.1469,76.68,27,65,3.6,CN,1631760922
179,Plastun,44.7561,136.2939,66.56,56,100,8.14,RU,1631760923
180,Skibotn,69.3913,20.2679,33.89,85,64,11.36,NO,1631760923
181,Richards Bay,-28.783,32.0377,65.48,84,100,6.46,ZA,1631760925
182,Praya,-8.7054,116.2704,85.86,66,75,11.5,ID,1631760926
183,Saint Paul Harbor,57.79,-152.4072,49.51,93,90,23.02,US,1631760927
184,Kumul,42.8,93.45,82.0,12,3,7.49,CN,1631760928
185,Dunedin,-45.8742,170.5036,49.8,62,100,5.99,NZ,1631760637
186,Coquimbo,-29.9533,-71.3436,53.33,87,0,2.3,CL,1631760858
187,Ngunguru,-35.6167,174.5,63.16,84,5,15.52,NZ,1631760930
188,Baghdad,33.3406,44.4009,71.51,40,0,6.91,IQ,1631760769
189,Hammerfest,70.6634,23.6821,43.25,65,41,3.44,NO,1631760931
190,Souillac,-20.5167,57.5167,70.18,88,75,6.91,MU,1631760933
191,Bonnyville,54.2668,-110.735,51.46,38,3,18.07,CA,1631760934
192,Norman Wells,65.282,-126.8329,50.04,66,75,2.3,CA,1631760936
193,Saldanha,-33.0117,17.9442,50.05,86,0,18.28,ZA,1631760757
194,Chapais,49.7834,-74.8492,49.78,98,10,4.43,CA,1631760938
195,Vestmannaeyjar,63.4427,-20.2734,53.55,95,100,28.9,IS,1631760939
196,San Juan Bautista,-26.6694,-57.1458,61.03,50,79,7.0,PY,1631760771
197,Quatre Cocos,-20.2078,57.7625,67.08,81,95,7.2,MU,1631760940
198,Fortuna,40.5982,-124.1573,55.42,69,1,1.01,US,1631760942
199,Shimoda,34.6667,138.95,77.36,68,49,18.28,JP,1631760674
200,Dzilam González,21.2833,-88.9333,79.99,80,100,5.61,MX,1631760813
201,Sawtell,-30.3833,153.1,64.44,65,75,17.27,AU,1631760944
202,Bambous Virieux,-20.3428,57.7575,70.05,88,75,6.91,MU,1631760945
203,West Helena,34.5507,-90.6418,72.99,94,12,6.49,US,1631760947
204,Ustka,54.5805,16.8619,60.39,89,100,13.38,PL,1631760948
205,Rawson,-43.3002,-65.1023,55.54,49,3,16.78,AR,1631760949
206,Gao,16.6362,1.637,86.99,45,48,10.09,ML,1631760951
207,Namatanai,-3.6667,152.4333,84.13,68,98,9.24,PG,1631760953
208,Angoche,-16.2325,39.9086,70.32,85,10,7.61,MZ,1631760954
209,Kununurra,-15.7667,128.7333,94.98,34,17,6.91,AU,1631760736
210,Dingle,52.1408,-10.2689,58.39,93,55,10.83,IE,1631760956
211,Svetlogorsk,54.9399,20.1548,53.2,85,100,18.41,RU,1631760958
212,Liverpool,44.0335,-64.7155,67.66,93,100,13.15,CA,1631760959
213,Tateyama,34.9833,139.8667,77.27,67,76,14.85,JP,1631760710
214,Bubaque,11.2833,-15.8333,81.52,79,98,9.08,GW,1631760961
215,Kirakira,-10.4544,161.9205,83.12,74,98,10.22,SB,1631760962
216,Sambava,-14.2667,50.1667,68.61,86,66,9.04,MG,1631760963
217,Port-Gentil,-0.7193,8.7815,76.95,86,29,10.67,GA,1631760815
218,Vao,-22.6667,167.4833,69.17,65,8,21.16,NC,1631760965
219,Vila Velha,-20.3297,-40.2925,75.15,83,0,2.3,BR,1631760772
220,Oyama,36.3,139.8,75.09,64,95,8.72,JP,1631760719
221,Pontian Kecil,1.4801,103.3899,83.61,67,89,5.97,MY,1631760967
222,Ucluelet,48.9329,-125.5528,53.04,85,1,13.8,CA,1631760967
223,Mossamedes,-15.1961,12.1522,60.42,86,18,4.7,AO,1631760757
224,Acapulco de Juárez,16.8634,-99.8901,79.29,86,61,3.33,MX,1631760968
225,Severnyy,50.677,36.5532,42.84,81,0,8.95,RU,1631760970
226,Kilindoni,-7.9139,39.6668,76.48,79,33,10.65,TZ,1631760971
227,Mackay,-21.15,149.2,75.18,53,1,10.36,AU,1631760973
228,Mazyr,52.0495,29.2456,47.46,68,68,5.08,BY,1631760973
229,San Cristobal,-0.9045,-89.6174,68.54,88,4,11.77,EC,1631760831
230,Sangar,63.9242,127.4739,47.26,97,100,2.17,RU,1631760975
231,Esperance,-33.8667,121.9,57.04,52,34,25.01,AU,1631760977
232,Erenhot,43.6475,111.9767,66.67,42,0,3.09,CN,1631760978
233,Kaitangata,-46.2817,169.8464,45.37,80,96,6.15,NZ,1631760978
234,Labuan,5.2767,115.2417,80.96,78,20,2.3,MY,1631760979
235,Ponta do Sol,32.6667,-17.1,73.35,69,45,5.61,PT,1631760979
236,Provideniya,64.3833,-173.3,42.91,61,75,8.95,RU,1631760878
237,Bratislava,48.1482,17.1067,66.94,70,0,4.61,SK,1631760981
238,Ostrov,57.3439,28.3537,38.93,89,25,2.06,RU,1631760941
239,Pecos,31.4229,-103.4932,81.27,36,1,9.22,US,1631760983
240,Comodoro Rivadavia,-45.8667,-67.5,57.06,38,0,26.46,AR,1631760984
241,Inuvik,68.3499,-133.7218,58.01,51,75,3.44,CA,1631760985
242,Salalah,17.0151,54.0924,79.38,88,100,0.6,OM,1631760971
243,Paracuru,-3.41,-39.0306,80.11,85,26,13.73,BR,1631760757
244,Sioux Lookout,50.1001,-91.917,62.67,55,75,8.05,CA,1631760988
245,Andenes,69.3143,16.1194,40.98,87,100,10.36,NO,1631760990
246,Alta Floresta,-9.8756,-56.0861,73.11,83,44,4.14,BR,1631760991
247,Lavrentiya,65.5833,-171.0,39.07,63,100,11.56,RU,1631760993
248,Bay Roberts,47.5999,-53.2648,46.96,86,100,11.18,CA,1631760994
249,Cabo San Lucas,22.8909,-109.9124,82.08,80,15,1.01,MX,1631760865
250,Anadyr,64.75,177.4833,43.3,75,0,8.95,RU,1631760964
251,Tegul'det,57.3064,88.1667,44.82,99,100,4.59,RU,1631760997
252,Carutapera,-1.195,-46.02,76.41,91,0,4.83,BR,1631760762
253,Makkah al Mukarramah,21.4267,39.8261,82.38,48,52,6.53,SA,1631760931
254,Methven,-43.6333,171.65,46.9,69,95,9.1,NZ,1631761000
255,Luwuk,-0.9516,122.7875,77.56,93,100,4.34,ID,1631760997
256,Slonim,53.0867,25.3219,54.93,66,100,8.01,BY,1631761001
257,Cartagena,10.3997,-75.5144,83.82,84,40,4.61,CO,1631761002
258,Ilulissat,69.2167,-51.1,20.57,88,67,6.42,GL,1631760763
259,Örnsköldsvik,63.2909,18.7153,32.95,100,20,3.44,SE,1631760926
260,Vega de Alatorre,20.0333,-96.6333,81.18,88,99,5.99,MX,1631760809
261,São Filipe,14.8961,-24.4956,80.17,81,34,4.5,CV,1631761005
262,Sisimiut,66.9395,-53.6735,34.21,64,14,7.29,GL,1631761006
263,Sivaki,52.6333,126.75,57.94,82,100,10.16,RU,1631761008
264,Auxerre,47.8,3.5667,63.64,96,100,5.1,FR,1631761009
265,Jasper,52.8833,-118.0857,43.47,65,47,2.3,CA,1631761011
266,Soyo,-6.1349,12.3689,75.11,87,100,6.93,AO,1631761012
267,Tevaitoa,-16.7833,-151.5,79.0,73,5,18.01,PF,1631760877
268,Fontem,5.4685,9.8818,65.05,98,82,1.21,CM,1631760761
269,Sidi Ali,36.0998,0.4206,67.41,88,71,3.94,DZ,1631761015
270,Manokwari,-0.8667,134.0833,80.46,78,100,3.85,ID,1631761003
271,Tornabé,15.75,-87.55,82.65,90,53,3.4,HN,1631761017
272,Padang,-0.9492,100.3543,84.25,67,11,2.75,ID,1631761018
273,Ulaanbaatar,47.9077,106.8832,59.13,51,0,2.24,MN,1631760947
274,Teya,60.3778,92.6267,42.42,86,96,1.72,RU,1631761019
275,Stephenville Crossing,48.5,-58.4318,53.73,94,90,8.05,CA,1631761021
276,Antalaha,-14.9003,50.2788,67.59,84,38,6.31,MG,1631761023
277,Lilongwe,-13.9669,33.7873,66.99,48,42,2.91,MW,1631761024
278,Kayerkan,69.3497,87.7602,37.76,98,100,7.61,RU,1631761026
279,Tura,64.2833,100.25,41.63,72,99,3.96,RU,1631761028
280,Talnakh,69.4865,88.3972,37.94,98,100,10.07,RU,1631761029
281,Tazovsky,67.4667,78.7,41.09,89,100,5.61,RU,1631761031
282,Grindavik,63.8424,-22.4338,52.27,100,90,17.27,IS,1631760763
283,Turiaçu,-1.6633,-45.3717,74.19,96,6,3.51,BR,1631760758
284,Constitucion,23.9912,-104.6749,64.13,83,93,8.99,MX,1631761033
285,Hamilton,32.2915,-64.778,80.01,82,100,5.01,BM,1631761034
286,Bathsheba,13.2167,-59.5167,83.01,83,40,13.8,BB,1631760757
287,Shar,49.5886,81.0453,65.5,15,97,3.31,KZ,1631761036
288,Kaoma,-14.7833,24.8,64.45,41,42,0.69,ZM,1631761036
289,Paris,33.6609,-95.5555,75.06,81,99,6.02,US,1631761038
290,Puro,12.4841,123.3827,81.1,78,98,5.44,PH,1631761039
291,Iquitos,-3.7481,-73.2472,80.64,78,40,1.14,PE,1631760847
292,Makakilo City,21.3469,-158.0858,78.15,77,75,4.61,US,1631761040
293,Dongsheng,39.8161,109.9776,63.1,58,76,12.08,CN,1631760968
294,Dunmore East,52.1514,-6.9861,53.71,91,10,4.43,IE,1631761042
295,Aswān,24.0934,32.907,79.9,36,0,10.36,EG,1631760813
296,Ust-Tsilma,65.441,52.1498,40.8,95,100,3.4,RU,1631761043
297,Buraidah,26.326,43.975,79.25,20,5,9.91,SA,1631760933
298,Tanabe,33.7333,135.3667,77.94,79,75,2.3,JP,1631761045
299,Rāyadrug,14.7,76.8667,76.59,71,49,16.4,IN,1631761046
300,Belokurikha,51.9959,84.9896,65.79,38,97,3.02,RU,1631761046
301,Palmas de Monte Alto,-14.2672,-43.1619,77.83,34,0,12.08,BR,1631761048
302,Iporá,-16.4419,-51.1178,79.36,23,7,2.73,BR,1631761050
303,Abhā,18.2164,42.5053,64.65,72,0,4.61,SA,1631761051
304,Husavik,66.0449,-17.3389,42.71,77,98,12.15,IS,1631761053
305,Verkhnevilyuysk,63.4453,120.3167,47.64,58,100,4.99,RU,1631761054
306,Yantal',56.8471,105.2542,45.27,64,46,6.53,RU,1631761056
307,Batemans Bay,-35.7167,150.1833,58.46,52,21,7.87,AU,1631761057
308,Lamu,-2.2717,40.902,76.21,87,13,13.89,KE,1631761058
309,Beringovskiy,63.05,179.3167,41.5,74,44,8.59,RU,1631761060
310,Mildura,-34.2,142.15,67.96,26,5,4.61,AU,1631760945
311,Ancud,-41.8697,-73.8203,49.53,86,100,13.94,CL,1631761062
312,Eureka,40.8021,-124.1637,56.5,75,5,5.41,US,1631761005
313,Sumbe,-11.2061,13.8437,71.1,89,91,2.91,AO,1631761064
314,Turukhansk,65.8167,87.9833,41.32,84,99,6.96,RU,1631761066
315,Nālūt,30.3333,10.85,74.82,28,0,8.77,LY,1631761067
316,Alofi,-19.0595,-169.9187,82.29,69,75,13.8,NU,1631761069
317,Sidney,40.2842,-84.1555,60.42,83,0,5.75,US,1631761070
318,Hokitika,-42.7167,170.9667,59.16,44,1,5.21,NZ,1631760932
319,Newport,41.4901,-71.3128,72.55,78,100,5.01,US,1631760986
320,Hobyo,5.3505,48.5268,77.7,88,95,20.13,SO,1631761072
321,São Gabriel da Cachoeira,-0.1303,-67.0892,71.42,96,99,1.01,BR,1631760830
322,Champerico,14.3,-91.9167,79.65,84,100,3.87,GT,1631760818
323,Auki,-8.7676,160.7034,86.07,63,84,4.61,SB,1631761075
324,Sundargarh,22.1167,84.0333,80.49,81,100,4.9,IN,1631761076
325,Ōmagari,39.45,140.4833,74.16,55,32,11.18,JP,1631761030
326,Villarrobledo,39.2699,-2.6012,60.4,71,59,3.36,ES,1631760952
327,Ayagoz,47.9714,80.4392,66.56,28,91,8.93,KZ,1631761011
328,Cidreira,-30.1811,-50.2056,55.6,67,57,4.07,BR,1631760801
329,Gardabani,41.4605,45.0928,73.49,69,19,0.87,GE,1631761078
330,Sungai Penuh,-2.0833,101.3833,78.98,62,56,0.89,ID,1631761080
331,Ahipara,-35.1667,173.1667,61.92,92,40,12.75,NZ,1631761081
332,Lorengau,-2.0226,147.2712,76.26,89,100,6.69,PG,1631761082
333,Amapá,1.0,-52.0,70.03,98,20,2.55,BR,1631761082
334,Mahibadhoo,3.7833,72.9667,83.12,70,95,12.03,MV,1631760997
335,Tsabong,-26.0217,22.401,48.72,33,0,9.69,BW,1631761084
336,Samfya,-11.3649,29.5565,65.34,52,84,5.84,ZM,1631761086
337,Mbuyapey,-26.2,-56.75,59.92,60,97,4.27,PY,1631761087
338,Loukhi,66.0764,33.0381,36.95,94,93,4.54,RU,1631761090
339,Santa Maria,16.6,-22.9,79.39,83,40,14.97,CV,1631761037
340,Tarata,-17.4744,-70.0328,52.0,38,65,1.99,PE,1631761091
341,Billings Metropolitan Area,45.7833,-108.5007,76.62,29,100,5.99,US,1631760943
342,Westport,-41.7526,171.6037,59.4,45,85,7.05,NZ,1631760954
343,Sakīt,27.45,78.8167,75.7,86,98,21.09,IN,1631761095
344,Inta,66.0317,60.1659,40.3,84,97,12.88,RU,1631761095
345,Tulsīpur,28.131,82.2973,73.06,95,100,4.5,NP,1631761021
346,Aiquile,-18.2041,-65.1807,56.57,79,95,4.38,BO,1631760859
347,Bairiki Village,1.3292,172.9752,87.8,66,75,8.05,KI,1631761097
348,Harper,4.375,-7.7169,75.96,87,100,8.14,LR,1631761099
349,Guangzhou,23.1167,113.25,89.55,50,82,6.2,CN,1631760847
350,Itarema,-2.9248,-39.9167,79.07,85,7,15.14,BR,1631761101
351,Buluang,13.3068,123.3425,80.65,84,100,0.16,PH,1631761103
352,Seoul,37.5683,126.9778,76.87,48,0,11.5,KR,1631761002
353,Imeni Zhelyabova,58.9544,36.5956,35.37,96,46,3.74,RU,1631761103
354,Iskateley,67.6803,53.1512,43.48,82,100,10.65,RU,1631761105
355,Xiongyue,40.1774,122.1228,73.8,67,86,7.78,CN,1631761107
